"name","latitude","longitude"
"Industriveien 3",59.99080843,10.91082007
"Industriveien 16",59.99073437,10.91866655
"Odvar Solbergs vei 126",59.96793592,10.90217906
"Trondheimsveien 658",59.97962346,10.92413521
"Birkelundveien 64",60.00671995,10.93031407
"Stuaveien 18",60.03027768,10.89002026
"Nedre Rommen 3",59.96316572,10.90608816
"Nedre Rommen 5",59.9626733,10.90599985
"Vestlisvingen 23",59.96770926,10.92431675
"Trondheimsveien 391",59.95186249,10.86773149
"Hadelandsveien 835",60.054746,10.882257
"Bråtagrenda 3",60.04801928,11.04528353
"Bryggeriveien 2",59.99312827,10.93179995
"Industriveien 14a",60.01141694,11.0407617
"Trondheimsveien 187",60.01799267,11.05833202
"Brennaveien 18",59.991749,10.91343481
"Trondheimsveien 183",60.01472406,11.05545278
"Industriveien 14",59.99048296,10.91732551
"Lurudveien 7",60.01358397,11.04569162
"Marenlundveien 5",60.00992699,11.04615911
"Høgslundveien 25",60.00950117,11.05002199
"Gneisveien 18",60.01238574,11.05869226
"Trondheimsveien 306",60.02341897,11.09056542
"Engerveien 142",60.00534099,11.08983927
"Trondheimsveien 56",59.9834533,11.02207891
"Trondheimsveien 433",60.03166108,11.11694781
"Brådalsstubben 18",59.98488714,10.9269261
"Vestbyvegen 79",60.10074762,11.02158594
"Morteveien 12",59.98703526,10.94022124
"Støperiveien 5",59.94755997,11.00553387
"Stovner Senter 3",59.96177659,10.92514263
"Furuholtet 1",59.99999493,11.04050707
"Torvet 6",59.95651519,11.04884641
"Slattum Terrasse 2",60.00939982,10.92165515
"Messeveien 8",59.95002411,11.05630409
"Vardekroken 19",60.01983654,11.04879174
"Leiraveien 16",59.96812576,11.07310893
"Leiraveien 12",59.96537672,11.07242681
"Rolf Olsens Vei 22",59.96552542,11.06572836
"Leiraveien 5",59.96285401,11.06647251
"Isakveien 64",59.95249763,11.07513775
"Inges gate 36",59.95223141,11.07464524
"Bregneveien 2",59.96957073,11.05099304
"Storgata 57",59.96141595,11.05046914
"Tuenveien 64",59.94323662,11.09664286
"Tuenveien 90",59.94291852,11.09662971
"Solheimveien 44",59.93266124,10.94181006
"Gårdsveien 1",59.9502835,10.87312349
"Trondheimsveien 36",59.97954262,10.99130333
"Fabrikkgata 3",59.95322133,11.05199939
"Smalvollveien 65",59.92270121,10.8435218
"Haugerudhagan 1",59.9168091,10.84543978
"Smalvollveien 62",59.92177823,10.84001391
"Lørenveien 68",59.92965092,10.80049285
"Bøkkerveien 4",59.92745756,10.79506158
"General Ruges vei 107",59.86374156,10.8427181
"Gamleveien 88",59.9195159,10.95419049
"Solheimveien 30",59.93421356,10.93931082
"Strømsveien 239",59.9242177,10.84117427
"Haslevollen 3a",59.9251163,10.79137881
"St. Halvards gate 2-4",59.9052813,10.76835601
"Bidenkaps gate 3",59.91943802,10.7411412
"Bygdøy allé 63",59.91882319,10.70373898
"Kveldroveien 47",59.72593874,10.78115561
"Grini Næringspark 1",59.94581212,10.59741433
"Østaveien 117",59.91867742,10.93054859
"Steinsoppveien 7",59.91545107,10.93890495
"Piggsoppveien 28",59.91430223,10.94063759
"Piggsoppveien 46",59.91521045,10.94052073
"Rimsoppfaret 2",59.91254949,10.94358465
"Gamleveien 1",60.05386707,10.88238146
"Stuaveien 18",60.03027768,10.89002026
"Askveien 81",60.06411559,10.91092269
"Birkelundveien 64",60.00671995,10.93031407
"Industriveien 3",59.99080843,10.91082007
"Industriveien 16",59.99073437,10.91866655
"Nordmarkveien 6",59.99667426,10.74995811
"Hadelandsveien 1653",60.1195675,10.83496324
"Trondheimsveien 658",59.97962346,10.92413521
"Sagstuveien 101",60.12074576,10.82648072
"Brennaveien 20",59.98959893,10.90680788
"Brennaveien 18",59.991749,10.91343481
"Industriveien 15",59.98945113,10.91366843
"Industriveien 14",59.99048296,10.91732551
"Bryggeriveien 2",59.99312827,10.93179995
"Stamveien 1",59.98324498,10.93988943
"Destilleriveien 11",59.98865331,10.9454564
"Trondheimsveien 445",59.95932441,10.88003655
"Kalbakkveien 46",59.95704386,10.87528011
"Jernkroken 16",59.95576895,10.89555709
"Brådalsstubben 18",59.98488714,10.9269261
"Lurudveien 7",60.01358397,11.04569162
"Marenlundveien 5",60.00992699,11.04615911
"Høgslundveien 25",60.00950117,11.05002199
"Trondheimsveien 56",59.9834533,11.02207891
"Gneisveien 18",60.01238574,11.05869226
"Trondheimsveien 306",60.02341897,11.09056542
"Nedre Rommen 7",59.96271431,10.90474949
"Engerveien 142",60.00534099,11.08983927
"Elvesvingen 23",59.96486089,11.03219171
"Furuholtet 1",59.99999493,11.04050707
"Vardekroken 19",60.01983654,11.04879174
"Torvet 6",59.95651519,11.04884641
"Messeveien 8",59.95002411,11.05630409
"Støperiveien 5",59.94772308,11.00663627
"Morteveien 12",59.98703526,10.94022124
"Slattum Terrasse 2",60.00939982,10.92165515
"Stovner Senter 3",59.96177659,10.92514263
"Bregneveien 2",59.96957073,11.05099304
"Fetveien 80",59.97453788,11.03135574
"Rolf Olsens Vei 22",59.96552542,11.06572836
"Odalsgata 29",59.96265456,11.04729342
"Odalsgata 25",59.96228612,11.04827788
"Leiraveien 16",59.96812576,11.07310893
"Storgata 57",59.96141595,11.05046914
"Leiraveien 5",59.96285401,11.06647251
"Leiraveien 12",59.96537672,11.07242681
"Fetveien 35",59.97812941,11.01948233
"Solheimveien 44",59.93266124,10.94181006
"Fabrikkgata 3",59.95322133,11.05199939
"Trondheimsveien 36",59.97954262,10.99130333
"Gårdsveien 1",59.9502835,10.87312349
"Smalvollveien 65",59.92270121,10.8435218
